,Relative_yield_change,yield_of_CT,Latitude,Longitude,Years_since_CT_started,Crop_rotation_CT,Crop_rotation_NT,ST,Soil_cover_in_CT,Soil_cover_in_CT,Soil_cover_in_CT,Soil_cover_in_CT,Weed_pest_control_CT,Weed_pest_control_NT,P,E,PB,Tave,Tmax,Tmin
836,-0.2139,5994.0,-27.8,-50.32,1,1,1,3,1435.0,976.0,1435.0,976.0,0.0,0.0,954.4,616.757,337.644,21.33333,25.57545,10.66417
1578,-0.0688,9600.0,45.61,17.86,5,0,0,0,1435.0,976.0,1435.0,976.0,0.0,0.0,489.5,512.061,-22.561,17.58571,29.77124,5.90084
2498,-0.5,400.0,-2.35,30.25,2,0,0,3,1435.0,976.0,1435.0,976.0,0.0,0.0,558.3,512.182,46.118,24.425,26.6788,17.19974
1919,-0.0259,6359.0,-29.53,30.28,7,1,1,4,1435.0,976.0,1435.0,976.0,0.0,0.0,733.7,654.896,78.804,18.5125,25.37147,3.9652
2949,-0.2192,13774.0,41.8,1.12,20,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,159.8,667.161,-507.361,19.7625,34.45457,5.2742
3267,-0.1138,10720.0,28.67,77.2,1,1,1,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,843.5,449.03,394.47,29.74,40.53674,20.90237
162,-0.2385,10900.0,34.28,-85.97,4,0,0,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,837.3,580.529,256.771,21.95,31.50594,8.81776
1049,0.2188,3200.0,31.53,75.91,5,1,1,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,625.5,508.436,117.064,29.34,36.97631,16.75304
775,0.0101,10974.0,32.32,-86.9,5,1,1,3,1435.0,976.0,1435.0,976.0,0.0,0.0,647.0,642.709,4.291,22.95,32.88844,11.05887
2408,-0.0891,11670.0,40.65,-104.98,5,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,223.0,576.644,-353.644,14.8,31.98261,-5.42037
1666,-0.1739,9200.0,42.02,-93.75,27,1,1,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,445.2,535.055,-89.855,19.2,30.0553,4.95569
2409,-0.329,6990.0,40.65,-104.98,5,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,223.0,576.644,-353.644,14.8,31.98261,-5.42037
3661,-0.006,18270.0,45.2,9.68,3,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,216.7,499.893,-283.193,15.98333,27.22127,5.96513
3144,-0.2901,2930.0,28.63,77.15,4,1,1,0,1435.0,1435.0,1435.0,1435.0,1.0,1.0,410.0,475.816,-65.816,30.7,38.48885,17.90754
